# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000643493
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    3.06340e-01	    1.40000e-01	    4.38447e-02	    8.18991e-02	    2.97778e-03	    1.18197e-02	    5.35196e-03	   -9.62116e-03	    1.40577e-02	    1.79589e-01	    5.08047e-01	    1.25859e-02	    3.07864e-02	    2.36842e-02
    3.10309e-01	    1.40000e-01	    4.33878e-02	    8.06289e-02	    3.01936e-03	    1.18192e-02	    5.47910e-03	   -9.58563e-03	    1.36330e-02	    1.79143e-01	    5.00695e-01	    1.26075e-02	    3.03798e-02	    2.36775e-02
    3.14288e-01	    1.40000e-01	    4.29261e-02	    7.93595e-02	    3.06211e-03	    1.18145e-02	    5.60396e-03	   -9.54717e-03	    1.32095e-02	    1.78631e-01	    4.93344e-01	    1.26265e-02	    2.99763e-02	    2.36603e-02
    3.18276e-01	    1.40000e-01	    4.24597e-02	    7.80920e-02	    3.10592e-03	    1.18056e-02	    5.72639e-03	   -9.50604e-03	    1.27876e-02	    1.78056e-01	    4.85998e-01	    1.26428e-02	    2.95760e-02	    2.36329e-02
    3.22273e-01	    1.40000e-01	    4.19891e-02	    7.68271e-02	    3.15067e-03	    1.17927e-02	    5.84623e-03	   -9.46248e-03	    1.23677e-02	    1.77420e-01	    4.78664e-01	    1.26563e-02	    2.91791e-02	    2.35956e-02
    3.26279e-01	    1.40000e-01	    4.15144e-02	    7.55658e-02	    3.19626e-03	    1.17759e-02	    5.96334e-03	   -9.41672e-03	    1.19502e-02	    1.76723e-01	    4.71346e-01	    1.26671e-02	    2.87854e-02	    2.35486e-02
    3.30295e-01	    1.40000e-01	    4.10361e-02	    7.43088e-02	    3.24257e-03	    1.17555e-02	    6.07762e-03	   -9.36897e-03	    1.15355e-02	    1.75968e-01	    4.64050e-01	    1.26749e-02	    2.83951e-02	    2.34922e-02
    3.34321e-01	    1.40000e-01	    4.05542e-02	    7.30568e-02	    3.28950e-03	    1.17314e-02	    6.18893e-03	   -9.31944e-03	    1.11238e-02	    1.75156e-01	    4.56780e-01	    1.26799e-02	    2.80081e-02	    2.34266e-02
    3.38356e-01	    1.40000e-01	    4.00692e-02	    7.18107e-02	    3.33695e-03	    1.17039e-02	    6.29717e-03	   -9.26831e-03	    1.07155e-02	    1.74290e-01	    4.49539e-01	    1.26818e-02	    2.76246e-02	    2.33520e-02
    3.42401e-01	    1.40000e-01	    3.95812e-02	    7.05709e-02	    3.38481e-03	    1.16731e-02	    6.40227e-03	   -9.21576e-03	    1.03109e-02	    1.73371e-01	    4.42333e-01	    1.26806e-02	    2.72444e-02	    2.32689e-02
    3.46456e-01	    1.40000e-01	    3.90906e-02	    6.93382e-02	    3.43297e-03	    1.16392e-02	    6.50411e-03	   -9.16195e-03	    9.91038e-03	    1.72400e-01	    4.35164e-01	    1.26764e-02	    2.68677e-02	    2.31773e-02
    3.50522e-01	    1.40000e-01	    3.85977e-02	    6.81132e-02	    3.48135e-03	    1.16022e-02	    6.60264e-03	   -9.10703e-03	    9.51410e-03	    1.71381e-01	    4.28037e-01	    1.26690e-02	    2.64944e-02	    2.30776e-02
    3.54597e-01	    1.40000e-01	    3.81026e-02	    6.68964e-02	    3.52984e-03	    1.15622e-02	    6.69778e-03	   -9.05115e-03	    9.12236e-03	    1.70313e-01	    4.20953e-01	    1.26584e-02	    2.61245e-02	    2.29700e-02
    3.58684e-01	    1.40000e-01	    3.76058e-02	    6.56882e-02	    3.57834e-03	    1.15195e-02	    6.78947e-03	   -8.99444e-03	    8.73543e-03	    1.69200e-01	    4.13917e-01	    1.26447e-02	    2.57581e-02	    2.28548e-02
    3.62781e-01	    1.40000e-01	    3.71073e-02	    6.44893e-02	    3.62677e-03	    1.14741e-02	    6.87766e-03	   -8.93701e-03	    8.35353e-03	    1.68043e-01	    4.06931e-01	    1.26277e-02	    2.53950e-02	    2.27323e-02
