#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield	MassLower
# Dc1865zer	 1.864600	0.00000e+00	  0.0	  0.5	  0.5	0	0	1	0	1	0	      421	3.22736e-07	   1.8646
# 1:pbar [GeV]	2:m [GeV]	3:feq 1	4:feq 2	5:fshear 1	6:fshear 2	7:fshear 3	8:fbulk 1	9:fbulk 2	10:ftemperature 1	11:ftemperature 2	12:fvelocity 1	13:fvelocity 2	14:fvelocity 3 	15:fdiff 1	16:fdiff 2	17:fdiff3
    1.83513e-01	    1.86460e+00	    4.90316e-06	    5.23274e-06	    1.80397e-07	    7.13588e-07	    1.94039e-07	    9.47643e-06	    1.03542e-05	    6.59363e-05	    7.09935e-05	    9.40529e-07	    2.51529e-06	    1.00748e-06	    9.40526e-07	    2.51528e-06	    1.00748e-06
    1.86591e-01	    1.86460e+00	    4.97524e-06	    5.30957e-06	    1.89240e-07	    7.30200e-07	    2.03545e-07	    9.61099e-06	    1.05011e-05	    6.69151e-05	    7.20458e-05	    9.70358e-07	    2.54172e-06	    1.03942e-06	    9.70355e-07	    2.54172e-06	    1.03941e-06
    1.89671e-01	    1.86460e+00	    5.04691e-06	    5.38596e-06	    1.98357e-07	    7.47040e-07	    2.13348e-07	    9.74454e-06	    1.06469e-05	    6.78890e-05	    7.30927e-05	    1.00059e-06	    2.56851e-06	    1.07178e-06	    1.00059e-06	    2.56851e-06	    1.07177e-06
    1.92755e-01	    1.86460e+00	    5.11818e-06	    5.46191e-06	    2.07753e-07	    7.64110e-07	    2.23449e-07	    9.87708e-06	    1.07916e-05	    6.88578e-05	    7.41340e-05	    1.03122e-06	    2.59564e-06	    1.10456e-06	    1.03121e-06	    2.59564e-06	    1.10456e-06
    1.95843e-01	    1.86460e+00	    5.18902e-06	    5.53741e-06	    2.17431e-07	    7.81414e-07	    2.33853e-07	    1.00086e-05	    1.09352e-05	    6.98214e-05	    7.51698e-05	    1.06224e-06	    2.62311e-06	    1.13777e-06	    1.06224e-06	    2.62311e-06	    1.13776e-06
    1.98934e-01	    1.86460e+00	    5.25945e-06	    5.61246e-06	    2.27394e-07	    7.98954e-07	    2.44563e-07	    1.01391e-05	    1.10776e-05	    7.07799e-05	    7.61998e-05	    1.09365e-06	    2.65093e-06	    1.17139e-06	    1.09365e-06	    2.65092e-06	    1.17138e-06
    2.02029e-01	    1.86460e+00	    5.32944e-06	    5.68704e-06	    2.37646e-07	    8.16733e-07	    2.55583e-07	    1.02685e-05	    1.12189e-05	    7.17330e-05	    7.72241e-05	    1.12544e-06	    2.67907e-06	    1.20542e-06	    1.12544e-06	    2.67907e-06	    1.20541e-06
    2.05128e-01	    1.86460e+00	    5.39900e-06	    5.76115e-06	    2.48189e-07	    8.34753e-07	    2.66916e-07	    1.03968e-05	    1.13590e-05	    7.26808e-05	    7.82425e-05	    1.15762e-06	    2.70754e-06	    1.23985e-06	    1.15762e-06	    2.70754e-06	    1.23985e-06
    2.08230e-01	    1.86460e+00	    5.46812e-06	    5.83479e-06	    2.59028e-07	    8.53016e-07	    2.78566e-07	    1.05240e-05	    1.14978e-05	    7.36231e-05	    7.92549e-05	    1.19017e-06	    2.73634e-06	    1.27469e-06	    1.19017e-06	    2.73634e-06	    1.27469e-06
    2.11336e-01	    1.86460e+00	    5.53679e-06	    5.90795e-06	    2.70165e-07	    8.71525e-07	    2.90536e-07	    1.06502e-05	    1.16355e-05	    7.45599e-05	    8.02613e-05	    1.22310e-06	    2.76546e-06	    1.30993e-06	    1.22309e-06	    2.76546e-06	    1.30992e-06
    2.14446e-01	    1.86460e+00	    5.60501e-06	    5.98062e-06	    2.81603e-07	    8.90283e-07	    3.02829e-07	    1.07752e-05	    1.17720e-05	    7.54910e-05	    8.12616e-05	    1.25639e-06	    2.79489e-06	    1.34555e-06	    1.25639e-06	    2.79489e-06	    1.34555e-06
    2.17561e-01	    1.86460e+00	    5.67277e-06	    6.05279e-06	    2.93345e-07	    9.09292e-07	    3.15449e-07	    1.08991e-05	    1.19072e-05	    7.64165e-05	    8.22556e-05	    1.29004e-06	    2.82464e-06	    1.38156e-06	    1.29004e-06	    2.82464e-06	    1.38156e-06
    2.20679e-01	    1.86460e+00	    5.74006e-06	    6.12446e-06	    3.05395e-07	    9.28553e-07	    3.28398e-07	    1.10218e-05	    1.20411e-05	    7.73362e-05	    8.32434e-05	    1.32405e-06	    2.85469e-06	    1.41795e-06	    1.32405e-06	    2.85469e-06	    1.41795e-06
    2.23801e-01	    1.86460e+00	    5.80687e-06	    6.19561e-06	    3.17754e-07	    9.48070e-07	    3.41680e-07	    1.11434e-05	    1.21738e-05	    7.82500e-05	    8.42247e-05	    1.35842e-06	    2.88505e-06	    1.45472e-06	    1.35842e-06	    2.88505e-06	    1.45472e-06
    2.26927e-01	    1.86460e+00	    5.87321e-06	    6.26626e-06	    3.30426e-07	    9.67844e-07	    3.55298e-07	    1.12638e-05	    1.23052e-05	    7.91579e-05	    8.51996e-05	    1.39313e-06	    2.91570e-06	    1.49186e-06	    1.39313e-06	    2.91570e-06	    1.49185e-06
    2.30058e-01	    1.86460e+00	    5.93907e-06	    6.33638e-06	    3.43415e-07	    9.87877e-07	    3.69254e-07	    1.13830e-05	    1.24353e-05	    8.00598e-05	    8.61679e-05	    1.42819e-06	    2.94665e-06	    1.52936e-06	    1.42818e-06	    2.94665e-06	    1.52936e-06
    2.33193e-01	    1.86460e+00	    6.00443e-06	    6.40597e-06	    3.56721e-07	    1.00817e-06	    3.83552e-07	    1.15010e-05	    1.25640e-05	    8.09556e-05	    8.71296e-05	    1.46358e-06	    2.97789e-06	    1.56722e-06	    1.46358e-06	    2.97788e-06	    1.56722e-06
    2.36332e-01	    1.86460e+00	    6.06929e-06	    6.47502e-06	    3.70349e-07	    1.02873e-06	    3.98194e-07	    1.16178e-05	    1.26915e-05	    8.18452e-05	    8.80846e-05	    1.49931e-06	    3.00941e-06	    1.60544e-06	    1.49930e-06	    3.00940e-06	    1.60544e-06
    2.39476e-01	    1.86460e+00	    6.13365e-06	    6.54353e-06	    3.84300e-07	    1.04955e-06	    4.13183e-07	    1.17334e-05	    1.28175e-05	    8.27286e-05	    8.90327e-05	    1.53536e-06	    3.04120e-06	    1.64401e-06	    1.53536e-06	    3.04120e-06	    1.64400e-06
